run_name,run_id,no_ceo,seed,T_game,T_CEO,n_epochs,delta_global,ceo_model,elapsed_s
20260614_185816_5d2c90cb,5d2c90cb,True,42,600,100,0,0.7478360767301816,gemini/gemini-2.5-flash,13.1
20260614_230913_4f0380c8,4f0380c8,True,42,600,100,0,0.7478360767301816,gemini/gemma-4-31b-it,12.04
20260614_231224_79942e51,79942e51,False,42,600,100,6,0.746319967346306,gemini/gemma-4-31b-it,9.56
20260614_231316_e0f62c38,e0f62c38,False,42,600,100,6,0.746319967346306,gemini/gemma-4-31b-it,901.94
20260615_022233_7e518a89,7e518a89,True,42,600,100,0,0.758407670202948,gemini/gemma-4-31b-it,10.02
20260615_030900_717fd71a,717fd71a,True,42,600,100,0,0.758407670202948,gemini/gemma-4-31b-it,10.1
20260615_050503_54887a52,54887a52,True,42,600,100,0,0.758407670202948,gemini/gemma-4-31b-it,10.74
20260615_202149_0d8c2934,0d8c2934,True,42,1000,100,0,0.013730889420230319,gemini/gemma-4-31b-it,12.13
20260615_202226_01a2453d,01a2453d,False,42,1000,100,10,0.007871304761317106,gemini/gemma-4-31b-it,551.84
20260615_213032_b47b77cb,b47b77cb,False,42,100,100,1,0.013730889420230319,gemini/gemma-4-31b-it,15.96
20260615_213244_a09e6600,a09e6600,False,42,100,100,1,0.013730889420230319,gemini/gemma-4-31b-it,367.82
20260615_225956_8e048e33,8e048e33,False,42,100,100,1,0.013730889420230319,gemini/gemma-4-31b-it,452.31
20260616_212810_bd1339ce,bd1339ce,False,42,100,100,1,0.013905991753682912,gemini/gemma-4-31b-it,462.96
20260616_222244_15aa2833,15aa2833,False,42,2000,100,20,0.01058891750201762,gemini/gemma-4-31b-it,11078.25
20260617_184908_2a6f45fb,2a6f45fb,True,42,1000,100,0,0.7642909534688733,gemini/gemma-4-31b-it,18.13
20260617_185414_38481750,38481750,True,42,2000,500,0,0.8084032678772045,gemini/gemma-4-31b-it,15.36
20260617_185833_7f7325be,7f7325be,False,42,500,500,1,0.8172582464863942,gemini/gemma-4-31b-it,20.18
20260617_195002_42ad5fe5,42ad5fe5,True,42,5000,1000,0,0.013919260050684643,gemini/gemma-4-31b-it,15.83
20260617_195703_75fea495,75fea495,False,42,30000,5000,6,0.0320358438154754,gemini/gemma-4-31b-it,2407.86
20260617_205833_265a7d75,265a7d75,True,42,600000,20000,0,0.011866671514388713,gemini/gemma-4-31b-it,420.96
20260621_055106_6fc1c614,6fc1c614,False,42,600000,20000,30,0.023132698822361825,gemini/gemma-4-31b-it,11524.21
20260622_043204_01329d47,01329d47,True,42,5000,100,0,0.11473722598122148,gemini/gemma-4-31b-it,20.4
20260628_212132_d1755296,d1755296,False,42067,6000000,100000,60,0.06331515878764411,gemini/gemma-4-31b-it,23896.18
20260629_090544_4381db70,4381db70,False,42067,300000,100000,3,0.07924226260347972,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,341.55
20260629_083853_fc3d8019,fc3d8019,False,42067,6000000,100000,60,0.0869662831182957,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,6497.25
20260629_103604_265f9ad4,265f9ad4,False,42067,6000000,100000,60,0.05873483829321129,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,6547.26
20260629_123312_aed9b998,aed9b998,False,42067,6000000,100000,60,0.08763847651841593,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,5457.61
20260704_001421_037e6750,037e6750,False,6767,9000000,90000,100,0.9412636529926218,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,21890.74
20260704_065207_d89afb78,d89afb78,False,6767,9000000,90000,100,0.890077617561397,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,22071.35
20260704_183836_f8ac038d,f8ac038d,False,6767,9000000,90000,100,0.8778495869528761,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,20693.51
20260705_064928_c33afdcd,c33afdcd,False,6767,9000000,90000,100,0.8463615123014787,bedrock/us.anthropic.claude-haiku-4-5-20251001-v1:0,13242.29
